"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC6_mcf_hap5000200.hg.1",-1.16925737575758,5.84484979292929,-9.89418838767272,5.0288218601062e-19,1.19409967690327e-16,32.6164369951806,"TC6_mcf_hap5000200.hg.1"
"TC6_dbb_hap3000237.hg.1",-1.16967584848485,5.85312633838384,-9.87393897570023,5.75891589114186e-19,1.35378675130333e-16,32.48366834218,"TC6_dbb_hap3000237.hg.1"
"TC01001061.hg.1",-1.59346418787879,3.78925823737374,-9.87182305869329,5.84104361427447e-19,1.36399973115721e-16,32.4698001796634,"TC01001061.hg.1"
"TC6_qbl_hap6000173.hg.1",-1.17064952727274,6.08241954545454,-9.79317766854534,9.88009818265618e-19,2.20498153207425e-16,31.9550479930529,"TC6_qbl_hap6000173.hg.1"
"TC06003596.hg.1",-1.04773485454545,5.88796062121212,-9.78794323700537,1.0231354003804e-18,2.25483055753209e-16,31.9208367262882,"TC06003596.hg.1"
"TC21000346.hg.1",-1.35729777575758,5.67707552020202,-9.75980694112994,1.2343529115371e-18,2.65419663231521e-16,31.7370499032856,"TC21000346.hg.1"
"TC01004680.hg.1",-1.14454531939394,2.39550356717172,-9.7597942270065,1.23445754633154e-18,2.65419663231521e-16,31.7369668952309,"TC01004680.hg.1"
"TC09000388.hg.1",-1.38696792121212,5.36860027777778,-9.73046622624488,1.50089862735515e-18,3.17861483174076e-16,31.545588881583,"TC09000388.hg.1"
"TC06003133.hg.1",-1.72814633333334,5.25057872222222,-9.71259095623801,1.69059815263058e-18,3.51699272914356e-16,31.4290423628395,"TC06003133.hg.1"
"TC20001641.hg.1",-1.7163073939394,3.51375583838384,-9.68992278218467,1.96581547010984e-18,3.98377024133782e-16,31.2813531173844,"TC20001641.hg.1"
"TC6_ssto_hap7000153.hg.1",-1.1478587030303,6.02088192929293,-9.61215634979817,3.29504575082111e-18,6.2635178297886e-16,30.7756047108871,"TC6_ssto_hap7000153.hg.1"
"TC03000146.hg.1",-1.25598959393939,5.87657667171717,-9.56008473334658,4.65279680335088e-18,8.37064257557943e-16,30.4377711685296,"TC03000146.hg.1"
"TC09002563.hg.1",-1.29272066666667,4.28511380808081,-9.55873146296239,4.6946667508953e-18,8.40309602216724e-16,30.4290001258609,"TC09002563.hg.1"
"TC21000281.hg.1",-1.09986055757575,4.12626965656566,-9.542185369222,5.23792834740319e-18,9.28126685537475e-16,30.3217950955087,"TC21000281.hg.1"
"TC12001837.hg.1",-1.63837075757576,6.95701558080808,-9.53148081115033,5.6222464533918e-18,9.91244216581374e-16,30.2524742420702,"TC12001837.hg.1"
"TC05002818.hg.1",-1.0931708060606,8.17535632828282,-9.52096869662446,6.02692166624216e-18,1.05207078383266e-15,30.1844271387044,"TC05002818.hg.1"
"TC03001908.hg.1",-1.61066616363636,4.53770434848485,-9.43138658896585,1.08855471114967e-17,1.7526973491874e-15,29.6056630510207,"TC03001908.hg.1"
"TC6_apd_hap1000092.hg.1",-1.5720603030303,5.83561120202021,-9.39437375084259,1.3889257283299e-17,2.19114174200862e-15,29.3671273804875,"TC6_apd_hap1000092.hg.1"
"TC01002864.hg.1",-1.41164610303031,6.32711303535354,-9.39085910039859,1.42141340947968e-17,2.21962851364646e-15,29.3444948965112,"TC01002864.hg.1"
"TC03002545.hg.1",-1.20139285151515,1.78097647222222,-9.38573498901465,1.47013623780624e-17,2.26911742486368e-15,29.3115040497559,"TC03002545.hg.1"
"TC0X002026.hg.1",-2.34190995151515,5.2171497979798,-9.38426096481857,1.48445704925311e-17,2.28079225456376e-15,29.302015015359,"TC0X002026.hg.1"
"TC21000589.hg.1",-1.2136090969697,4.33462608585859,-9.3555011815419,1.79333672354846e-17,2.67948063039848e-15,29.1169865666128,"TC21000589.hg.1"
"TC06001104.hg.1",-1.19263153333333,4.88946705555556,-9.34721061637182,1.89369448233869e-17,2.80665722364649e-15,29.0636885104327,"TC06001104.hg.1"
"TC18000103.hg.1",-1.2911314969697,5.37160005555555,-9.34240819557348,1.95436125942982e-17,2.88341880959768e-15,29.0328231181769,"TC18000103.hg.1"
"TC08001407.hg.1",-1.1159963939394,4.07746945959596,-9.33386471326282,2.0671007415049e-17,3.03712968136583e-15,28.9779286804348,"TC08001407.hg.1"
"TC16000898.hg.1",-1.75156318787879,7.03954576767677,-9.31410590773849,2.3532110191325e-17,3.43208383503282e-15,28.8510459449267,"TC16000898.hg.1"
