"TC_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol"
"TC05000697.hg.1",1.27829267878788,5.20711602020202,9.57507990579672,4.21298341040614e-18,7.6575316765998e-16,30.5349903191091,"KIF20A"
"TC05000701.hg.1",-1.11279983636364,7.25277622727272,-6.90919108668142,6.44105961344928e-11,1.74059784747713e-09,14.380251395043,"EGR1"
"TC05000907.hg.1",1.22765303030303,4.23104316161616,9.0627579648979,1.21304333444386e-16,1.43055944941446e-14,27.2462140213773,"HMMR"
"TC05001289.hg.1",-1.69147356969696,5.24678366161616,-9.00498309226652,1.76406859989767e-16,1.9583585043004e-14,26.8798243758384,"LIFR"
"TC05001317.hg.1",-1.65769674545455,5.69456440909091,-8.77758163621558,7.6307950610515e-16,7.1183407419383e-14,25.4472734533215,"CCL28"
"TC05001324.hg.1",-1.50533363030303,5.45827758080808,-8.10414561996061,5.30155716212806e-14,3.14186315751897e-12,21.3026966153008,"FGF10"
"TC05001556.hg.1",1.18843750909091,4.47920174242424,6.86453688307773,8.29793326678981e-11,2.19256331125447e-09,14.1339687236571,"VCAN-AS1"
"TC05001804.hg.1",-1.04924198787879,7.57169037373737,-4.35563191553311,2.12318358552382e-05,0.000150387675962139,2.13891994178007,"CXCL14"
"TC05001973.hg.1",-1.22014634545454,5.71177804545454,-9.05113381225486,1.30807266871944e-16,1.52226417188286e-14,27.1724204114284,"FAXDC2"
"TC05001995.hg.1",-1.2709443030303,6.05872114141414,-7.78151722175386,3.82106457320362e-13,1.78814158524246e-11,19.3748509974763,"EBF1"
"TC05002075.hg.1",-1.04404804242425,5.13053914646465,-8.8245614496428,5.64561874045434e-16,5.46153594558383e-14,25.7419523661181,"STC2"
"TC06000758.hg.1",-1.2413884969697,5.5313977070707,-7.20436276459385,1.1792957409e-11,3.84678415982844e-10,16.032182677083,"SH3BGRL2"
"TC06000761.hg.1",1.65106635151516,4.2614092020202,9.04005913488579,1.40547674050607e-16,1.61168188895463e-14,27.1021509818005,"TTK"
"TC06000820.hg.1",-1.27363115757576,4.55332130808081,-6.08836433011873,5.77986960304228e-09,9.8839414164731e-08,10.0173604286373,"FHL5"
"TC06000976.hg.1",-1.45159169090909,5.72903265151515,-7.06546097065538,2.63487615418129e-11,7.88372384477415e-10,15.2497051213138,"LAMA2"
"TC06001104.hg.1",-1.19263153333333,4.88946705555556,-9.34721061637182,1.89369448233869e-17,2.80665722364649e-15,29.0636885104327,"ESR1"
"TC06001109.hg.1",-1.00314026060606,4.16011954040404,-6.27622400030098,2.12993327866976e-09,4.0120001231738e-08,10.984030346124,"MYCT1"
"TC06001142.hg.1",1.7198274,5.82492743939394,7.95142109412029,1.35700017791302e-13,7.2063044839578e-12,20.3851091691739,"FNDC1"
"TC06001324.hg.1",-1.26549998181818,3.46356828787879,-9.07038327319264,1.15446317698438e-16,1.36833960723478e-14,27.2946426940369,"DCDC2"
"TC06001773.hg.1",1.37966422424242,6.06223645959596,8.53384029702572,3.60344041326263e-15,2.82361586960578e-13,23.9295803650935,"PLA2G7"
"TC06002044.hg.1",1.98903461212121,4.61128593434343,7.39773801585901,3.79642870694291e-12,1.39228050805894e-10,17.1361375624844,"COL10A1"
"TC06004113.hg.1",1.11002385454545,4.43132821212121,5.08050483678387,8.64356496136294e-07,8.87292768224452e-06,5.19199039323503,"UBD"
"TC06004120.hg.1",-1.08924730909091,5.8254673030303,-9.98497510423633,2.73548847823363e-19,7.04068810038213e-17,33.2127888257108,"TNXB"
"TC07000235.hg.1",2.42070238787879,6.08572080808081,11.6092115048613,3.97821089098904e-24,4.00793380950314e-21,44.1271078769342,"ANLN"
"TC07000509.hg.1",-1.06127652121212,4.68082980808081,-4.46043081165853,1.36667253075504e-05,0.000102283611255903,2.55693317161127,"CD36"
"TC07000768.hg.1",-1.22514865454546,4.89362681818182,-4.01353674379734,8.46777058920329e-05,0.00050505123922732,0.832087592007889,"LEP"
"TC07000927.hg.1",-3.36176828484849,6.53526245959595,-6.25572462154127,2.37726797284145e-09,4.43172268698646e-08,10.8775892353048,"PIP"
"TC07001221.hg.1",-1.0437554,5.42288507575758,-11.6312654279735,3.41122844893738e-24,3.48652266528132e-21,44.2778027631454,"HOXA5"
"TC07001318.hg.1",1.1529085030303,5.53341157070707,7.10617558347503,2.08360152958382e-11,6.38877524655826e-10,15.4781349779653,"INHBA"
"TC07001582.hg.1",-1.09602300606061,6.26856994949495,-4.45801406284852,1.38074772413195e-05,0.000103183714897698,2.54720185136821,"STEAP4"
"TC07001618.hg.1",-1.37042237575758,6.60246226262626,-4.87539840449146,2.21659822227222e-06,2.03067233605227e-05,4.29047957037108,"PDK4"
"TC07001722.hg.1",-1.35157086060606,4.15555382828283,-7.30447503492748,6.57151276729464e-12,2.28860639450824e-10,16.6016247282498,"RELN"
"TC07001811.hg.1",-1.18888533333333,4.44962773737374,-11.9722357932686,3.14632544879993e-25,4.93085132501594e-22,46.6136890693596,"AASS"
"TC07001895.hg.1",-1.74267798787879,5.46533870707071,-8.25901995609423,2.02642125711089e-14,1.31713646373485e-12,22.2420100836148,"PTN"
"TC07001993.hg.1",1.00485076969697,5.22539055050505,8.84130594547484,5.06992226950512e-16,4.97975108930793e-14,25.8471448669695,"EZH2"
"TC07002047.hg.1",1.00345594545455,4.73096092424242,6.75311230837024,1.55478720048931e-10,3.87039384892721e-09,13.5237119014097,"XRCC2"
"TC08000127.hg.1",-1.35460598181818,5.36560716666666,-6.27116470956666,2.18852003292162e-09,4.11027958140431e-08,10.9577388979247,"SLC7A2"
"TC08000149.hg.1",-1.10210877575757,6.03056502020202,-4.68149333204526,5.26234979986082e-06,4.38464904224462e-05,3.46509040502862,"LPL"
"TC08000191.hg.1",1.9932641030303,4.76679051010101,9.22508899046145,4.21449674638673e-17,5.77124182612488e-15,28.2807051861372,"ADAMDEC1"
"TC08000196.hg.1",1.05028219393939,4.13667428282828,7.05925876707143,2.73061862466509e-11,8.11852517990119e-10,15.214975858856,"CDCA2"
"TC08000213.hg.1",1.15604124848485,4.95028707070707,9.18378449574494,5.51908147119756e-17,7.26160788420271e-15,28.0167902319727,"ESCO2"
"TC08000452.hg.1",-1.04695911515151,4.67252128282828,-8.09692381430703,5.54355706415289e-14,3.25790229029378e-12,21.2591101773904,"PREX2"
"TC08000456.hg.1",1.18946904242424,7.31420871717171,7.00967651308607,3.6299690952643e-11,1.04744807899069e-09,14.9379933221988,"SULF1"
"TC08000497.hg.1",-1.94318407272727,5.5243813030303,-6.16431815162925,3.869286596463e-09,6.90333878641273e-08,10.4058108100496,"PI15"
"TC08000598.hg.1",-1.15347962424242,5.58420558585859,-9.13694251540933,7.48938404903712e-17,9.43167555875438e-15,27.7180614530458,"MATN2"
"TC08000646.hg.1",1.05010836363636,6.13436287878787,9.24423968886869,3.71856440597214e-17,5.17247174758132e-15,28.403226055781,"CTHRC1"
"TC08000668.hg.1",-1.18378503636364,2.18527001515151,-12.2958488370647,3.2456118763088e-26,6.93606928342198e-23,48.8397866189589,"PKHD1L1"
"TC08000700.hg.1",-1.07704453333334,6.66209943434344,-4.40212525144077,1.74792741981477e-05,0.000126598629380299,2.32336281617482,"COL14A1"
"TC08000729.hg.1",1.13929955757576,6.62755860101011,7.79676566417861,3.48362373283641e-13,1.64551638654268e-11,19.4650540419028,"SQLE"
"TC08001086.hg.1",1.30539529696969,4.10323108080808,8.07734637381862,6.25601343480774e-14,3.61930135736626e-12,21.1410499357242,"PBK"
"TC08001166.hg.1",-1.07624015151515,7.72730266161616,-5.81349726916592,2.40410113243624e-08,3.57462416535528e-07,8.63944147024021,"SFRP1"
"TC08001365.hg.1",-1.9424453939394,6.02416608080808,-4.430959024814,1.54813318137058e-05,0.000113870459271796,2.43855576963423,"FABP4"
"TC08001438.hg.1",1.21832150909091,4.00723771212121,7.31245273554793,6.2711324980302e-12,2.19592391836437e-10,16.6471960549741,"CCNE2"
"TC08001584.hg.1",1.27265497575758,5.98870538888889,8.09981200631178,5.44548922292268e-14,3.21635038918071e-12,21.2765392351099,"ATAD2"
"TC09000045.hg.1",-1.1951416,4.7668033030303,-4.96184733456926,1.49542489681539e-06,1.43407465322426e-05,4.6669350045637,"IL33"
"TC09000207.hg.1",1.5726830969697,4.53394021717172,9.00210761767694,1.79721196414659e-16,1.97502133295331e-14,26.8616141855999,"MELK"
"TC09000323.hg.1",-1.3390218,4.95128428787879,-7.44997412058656,2.78742544999701e-12,1.06835654896815e-10,17.4371829627171,"MAMDC2"
"TC09000388.hg.1",-1.38696792121212,5.36860027777778,-9.73046622624488,1.50089862735515e-18,3.17861483174076e-16,31.545588881583,"NTRK2"
"TC09000415.hg.1",1.43064083636363,6.37500009090909,8.99527745143305,1.87843792976805e-16,2.06023449643907e-14,26.8183688154127,"CKS2"
"TC09000556.hg.1",-1.27371466060606,4.64545947979798,-11.2068413597599,6.5131305881914e-23,4.68699498439819e-20,41.387280593555,"ZNF483"
"TC09000920.hg.1",-1.01102408484848,3.79365638383838,-7.00524839017115,3.7232415437647e-11,1.07085711007715e-09,14.913313139305,"FREM1"
"TC09001211.hg.1",-1.00750064242424,6.1840354040404,-5.14207560574387,6.48032310770053e-07,6.86431858571542e-06,5.46819259666324,"ALDH1A1"
"TC09001334.hg.1",-1.5885926060606,5.60711888888889,-4.97865661322157,1.38446402057749e-06,1.33840378510194e-05,4.7407316244052,"OGN"
"TC09001475.hg.1",-1.42759946666667,5.54611038383838,-6.27364024025456,2.15965835077444e-09,4.06148228991109e-08,10.9706016432441,"SVEP1"
"TC0X000073.hg.1",-1.68714823030303,3.21809495959596,-11.0890598679093,1.47069432751169e-22,9.26051571956314e-20,40.5890474573819,"GRPR"
"TC0X000207.hg.1",-1.43752212121212,5.40263026262626,-6.16701090773528,3.81440521197988e-09,6.81715996282208e-08,10.4196421960677,"MAOA"
"TC0X000376.hg.1",1.32345490909091,4.99117606060606,9.08840322161966,1.02695772014925e-16,1.23801947518095e-14,27.40915383373,"KIF4A"
"TC0X000475.hg.1",1.0050822969697,3.80704121717172,7.65766722844243,8.06930411966677e-13,3.49552539576941e-11,18.6456869981233,"CENPI"
"TC0X000750.hg.1",1.24056405454545,8.53721704545454,9.43446361602288,1.06670789982556e-17,1.72145174415098e-15,29.6255092561348,"BGN"
"TC0X000943.hg.1",-1.53963396363637,4.71745206060606,-10.5185586924573,7.38567274639255e-21,2.95943067666956e-18,36.7512517670762,"DMD"
"TC0X000954.hg.1",-1.14959087272727,6.411738,-5.50030457758819,1.15646655741783e-07,1.45977252602073e-06,7.1246691859938,"SRPX"
"TC0X000978.hg.1",-1.0660940060606,5.41774587373738,-6.14070781440741,4.38485519978057e-09,7.72310547587725e-08,10.2847108192452,"MAOB"
"TC0X001180.hg.1",-1.23024301818182,6.00213618181818,-6.41278657235222,1.01870597935611e-09,2.08843609831776e-08,11.698984505117,"ITM2A"
"TC0X001278.hg.1",-1.43756768484848,6.08150335353536,-4.87377553933866,2.23292978493983e-06,2.04214481266918e-05,4.28346204407965,"CHRDL1"
"TC0X001279.hg.1",-1.10959086666667,5.37491148989899,-3.90652819662566,0.000128255922187767,0.000723425769851064,0.44186425206402,"CAPN6"
"TC0X001378.hg.1",-1.39901264242424,5.60724967676768,-7.3422861350063,5.26324096810519e-12,1.88416011570397e-10,16.8178656059424,"GPC3"
"TC0X001547.hg.1",-1.04710960606061,4.82065044949495,-6.8766233797136,7.74878504142804e-11,2.05903378853289e-09,14.2005335422577,"F8"
"TC10000098.hg.1",1.37376926666667,4.99412278282828,8.11193585207713,5.05223298219529e-14,3.00927894090674e-12,21.3497353589451,"MCM10"
"TC10000245.hg.1",-2.76428816969697,5.04175382828283,-6.87246925753312,7.93336403377807e-11,2.10332568328621e-09,14.1776471774779,"ANKRD30A"
"TC10000373.hg.1",1.5466245030303,4.36547981313131,9.69268385460596,1.93004338391011e-18,3.9338820956105e-16,31.2993358235055,"CDK1"
"TC10000659.hg.1",1.97476687272727,5.04518612121212,11.0917368727626,1.44374870559986e-22,9.17274684369542e-20,40.6071695784899,"KIF11"
"TC10000664.hg.1",1.75516647272727,4.75297506060606,10.7045601626791,2.07155711028558e-21,9.67499484030928e-19,37.9968911778718,"CEP55"
"TC10001579.hg.1",-1.57293341212122,4.01039527777778,-10.8309046841528,8.70729118045816e-22,4.32439645013698e-19,38.8462163027855,"HPSE2"
"TC10001663.hg.1",-1.08722467878788,5.65313722222222,-4.8427212084402,2.56882155140205e-06,2.31102184295863e-05,4.14953163511078,"GPAM"
"TC10001678.hg.1",-1.41858353333334,5.50304469191919,-8.29700725485,1.59853713332202e-14,1.05952663771869e-12,22.4737190098569,"GFRA1"
"TC10001756.hg.1",2.13292738181818,6.34742436363636,12.1726083328323,7.71621590991685e-26,1.51158526281963e-22,47.9911014065163,"MKI67"
"TC11000482.hg.1",1.71819598787879,4.90715835353535,9.40157461394202,1.3246520821567e-17,2.09458382937078e-15,29.4135070577908,"FAM111B"
"TC11000510.hg.1",1.10099405454545,4.50653501515152,3.88358229537105,0.000140042757550567,0.000780544960937218,0.359362010905045,"MS4A1"
