"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC02002747.hg.1",1.30679106060605,9.54993833838384,8.92572707042799,2.94407823850061e-16,3.11282203319008e-14,26.3787857174072,"TC02002747.hg.1"
"TC03000873.hg.1",1.09763787272727,5.78157692424242,8.91457486178778,3.16362254329894e-16,3.3130691260264e-14,26.3084325380594,"TC03000873.hg.1"
"TC01001430.hg.1",1.76040970909091,4.66015412121212,8.90961040424388,3.26651091124187e-16,3.39770131258865e-14,26.2771263907624,"TC01001430.hg.1"
"TC06004064.hg.1",1.26670313939394,4.27569370707071,8.90472957566972,3.37090377786967e-16,3.49084063328491e-14,26.2463547723835,"TC06004064.hg.1"
"TC01006300.hg.1",1.4516389939394,4.96843322222222,8.89503501623101,3.58817811826505e-16,3.68876217834411e-14,26.185255652547,"TC01006300.hg.1"
"TC07001993.hg.1",1.00485076969697,5.22539055050505,8.84130594547484,5.06992226950512e-16,4.97975108930793e-14,25.8471448669695,"TC07001993.hg.1"
"TC01003679.hg.1",1.82281578787878,3.8098117020202,8.78193476967522,7.42090256794154e-16,6.95012366266854e-14,25.4745497345857,"TC01003679.hg.1"
"TC05000298.hg.1",1.18472529090908,5.60556156060606,8.73855467455672,9.79612063231769e-16,8.87984338499923e-14,25.2029973065472,"TC05000298.hg.1"
"TC19002629.hg.1",1.3649732060606,9.223846489899,8.73137794817757,1.02560790883075e-15,9.26106870095664e-14,25.1581287026082,"TC19002629.hg.1"
"TC16001083.hg.1",1.15253175151515,4.33054236868687,8.72078523893292,1.09744044470478e-15,9.83415406377572e-14,25.0919330152892,"TC16001083.hg.1"
"TC06001427.hg.1",1.51786776969697,7.31069241414141,8.71853403028519,1.11333830390383e-15,9.94032309898406e-14,25.0778693604893,"TC06001427.hg.1"
"TC0X001916.hg.1",1.66580618181818,6.24491393939394,8.71204370346713,1.1604631533376e-15,1.03007851645474e-13,25.0373321927015,"TC0X001916.hg.1"
"TC15000846.hg.1",1.2014122969697,4.98101097474747,8.69669555363775,1.27992528549069e-15,1.11533506195494e-13,24.9415238391489,"TC15000846.hg.1"
"TC01003702.hg.1",1.26044844242424,5.58225836868687,8.66173585678719,1.59953002967446e-15,1.36731704585129e-13,24.7235723193173,"TC01003702.hg.1"
"TC17000665.hg.1",1.01102353939394,5.56553728282828,8.65695454585684,1.64899564615084e-15,1.40279999943903e-13,24.6937941502997,"TC17000665.hg.1"
"TC02000582.hg.1",1.00141267878787,4.88127562626263,8.64711361862041,1.75563325706706e-15,1.48278472081605e-13,24.6325275443388,"TC02000582.hg.1"
"TC04001305.hg.1",2.35350489090909,6.39937246969697,8.63602225645055,1.88404014052663e-15,1.57613479039572e-13,24.5635133535431,"TC04001305.hg.1"
"TC06000178.hg.1",1.2276126,4.71289656060606,8.59712520647599,2.41249817773995e-15,1.96462596984705e-13,24.3217964101645,"TC06000178.hg.1"
"TC15000868.hg.1",1.0544475030303,4.27362461616161,8.59155337460986,2.49937312824817e-15,2.02368876146321e-13,24.2872116822661,"TC15000868.hg.1"
"TC03000930.hg.1",1.29734084848485,5.39313158585859,8.53982730115742,3.4694181907149e-15,2.7276898446353e-13,23.9666291753099,"TC03000930.hg.1"
"TC06001773.hg.1",1.37966422424242,6.06223645959596,8.53384029702572,3.60344041326263e-15,2.82361586960578e-13,23.9295803650935,"TC06001773.hg.1"
"TC11002293.hg.1",1.05744235151515,4.92934544444444,8.52830003451107,3.73203110557624e-15,2.91466256543249e-13,23.8953066464596,"TC11002293.hg.1"
"TC13001534.hg.1",1.5015901030303,4.23029969191919,8.50130319320218,4.42676281328071e-15,3.38931531216428e-13,23.7284419081127,"TC13001534.hg.1"
"TC06000173.hg.1",1.35603798787879,7.70994598989899,8.4973041988482,4.54004142887803e-15,3.46321566742867e-13,23.7037451688627,"TC06000173.hg.1"
"TC01001976.hg.1",1.3831717030303,4.28529775252525,8.48932721773014,4.77466032126998e-15,3.61351394445775e-13,23.6544973902364,"TC01001976.hg.1"
"TC01003533.hg.1",1.11472472727272,7.92230063636363,8.48609676758933,4.87305990493566e-15,3.68341697401691e-13,23.6345595003659,"TC01003533.hg.1"
"TC01001045.hg.1",1.04460254545454,5.0090746060606,8.48282151087907,4.97487731135926e-15,3.74832556227553e-13,23.6143486403408,"TC01001045.hg.1"
"TC17000495.hg.1",1.25358927272727,4.71786630303031,8.40310962374873,8.22001430633864e-15,5.87335429509544e-13,23.1235815843367,"TC17000495.hg.1"
"TC03001227.hg.1",1.2266632060606,4.6445163989899,8.39891632486853,8.43956020839587e-15,6.01195055127982e-13,23.097824302155,"TC03001227.hg.1"
"TC07002911.hg.1",2.02259695151515,5.50932076262627,8.36555384513378,1.04064790831674e-14,7.20919572084693e-13,22.8931110881065,"TC07002911.hg.1"
"TC03002155.hg.1",1.00131401212121,6.66280991919192,8.28877520258787,1.68291957592605e-14,1.10816561394055e-12,22.4234631361747,"TC03002155.hg.1"
"TC06001350.hg.1",1.31144287272728,5.56737657575758,8.19279339290848,3.06045818777353e-14,1.91002382987923e-12,21.8392819319576,"TC06001350.hg.1"
"TC03000626.hg.1",1.06944618181818,5.12864554545455,8.18869969946845,3.13929767275741e-14,1.95749504664784e-12,21.8144396962177,"TC03000626.hg.1"
"TC12000611.hg.1",1.46035396969697,9.15666106565657,8.16845366329548,3.55979087876255e-14,2.18872826628571e-12,21.691667657105,"TC12000611.hg.1"
"TC04001507.hg.1",1.00780240606061,4.41599567171717,8.16336426445038,3.67398773401862e-14,2.2452394884419e-12,21.6608289574269,"TC04001507.hg.1"
"TC10000098.hg.1",1.37376926666667,4.99412278282828,8.11193585207713,5.05223298219529e-14,3.00927894090674e-12,21.3497353589451,"TC10000098.hg.1"
"TC01005350.hg.1",1.22914929090909,8.4611608030303,8.10440875254258,5.29294013082378e-14,3.13939459079971e-12,21.3042850884176,"TC01005350.hg.1"
"TC08001584.hg.1",1.27265497575758,5.98870538888889,8.09981200631178,5.44548922292268e-14,3.21635038918071e-12,21.2765392351099,"TC08001584.hg.1"
"TC08001086.hg.1",1.30539529696969,4.10323108080808,8.07734637381862,6.25601343480774e-14,3.61930135736626e-12,21.1410499357242,"TC08001086.hg.1"
"TC03000242.hg.1",1.15708323030303,3.99618908585859,8.04104035896815,7.8255323268526e-14,4.40095706767644e-12,20.9224876216872,"TC03000242.hg.1"
